

replace_policy:FIFO
cache_index:256, associative:1
186:  0:  valid:1, tag:523	
187:  0:  valid:1, tag:531	
188:  0:  valid:1, tag:531	
189:  0:  valid:1, tag:531	
190:  0:  valid:1, tag:531	
191:  0:  valid:1, tag:523	
192:  0:  valid:1, tag:523	
193:  0:  valid:1, tag:523	
194:  0:  valid:1, tag:523	
195:  0:  valid:1, tag:531	
196:  0:  valid:1, tag:531	
197:  0:  valid:1, tag:531	
198:  0:  valid:1, tag:531	
199:  0:  valid:1, tag:514	
200:  0:  valid:1, tag:542	
201:  0:  valid:1, tag:542	
202:  0:  valid:1, tag:517	
203:  0:  valid:1, tag:531	
204:  0:  valid:1, tag:531	
205:  0:  valid:1, tag:515	
206:  0:  valid:1, tag:542	
207:  0:  valid:1, tag:542	
208:  0:  valid:1, tag:531	
209:  0:  valid:1, tag:531	
210:  0:  valid:1, tag:542	
211:  0:  valid:1, tag:542	
212:  0:  valid:1, tag:542	
213:  0:  valid:1, tag:542	
214:  0:  valid:1, tag:531	
215:  0:  valid:1, tag:531	
216:  0:  valid:1, tag:531	
217:  0:  valid:1, tag:531	
218:  0:  valid:1, tag:531	
219:  0:  valid:1, tag:531	
220:  0:  valid:1, tag:523	
221:  0:  valid:1, tag:529	
222:  0:  valid:1, tag:531	
223:  0:  valid:1, tag:531	
224:  0:  valid:1, tag:536	
225:  0:  valid:1, tag:536	
226:  0:  valid:1, tag:536	
227:  0:  valid:1, tag:536	
228:  0:  valid:1, tag:536	
229:  0:  valid:1, tag:536	
230:  0:  valid:1, tag:531	
231:  0:  valid:1, tag:531	
232:  0:  valid:1, tag:531	
233:  0:  valid:1, tag:531	
234:  0:  valid:1, tag:537	
235:  0:  valid:1, tag:529	
236:  0:  valid:1, tag:531	
237:  0:  valid:1, tag:536	
238:  0:  valid:1, tag:537	
239:  0:  valid:1, tag:536	
240:  0:  valid:1, tag:536	
241:  0:  valid:1, tag:531	
242:  0:  valid:1, tag:531	
243:  0:  valid:1, tag:516	
244:  0:  valid:1, tag:516	
245:  0:  valid:1, tag:516	
246:  0:  valid:1, tag:531	
247:  0:  valid:1, tag:537	
248:  0:  valid:1, tag:537	
249:  0:  valid:1, tag:537	
250:  0:  valid:1, tag:531	
251:  0:  valid:1, tag:531	
252:  0:  valid:1, tag:531	
253:  0:  valid:1, tag:515	
254:  0:  valid:1, tag:537	
255:  0:  valid:1, tag:537	
r_data_count:159631, w_data_count:83030
